AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
WE,307,CWC,Centurion Air Cargo,United States
WH,783,CNW,China Northwest Airlines,China PRC
WK,676,AFB,American Falcon,Argentina
WN,526,SWA,Southwest Airlines,United States
WQ,534,RMV,Romavia,Romania
WV,399,KKB,Air South Airlines,United States
WY,910,OAS,Oman Air,Oman
WZ,682,WSF,West African Airlines,Benin
X7,637,CHF,Chita Avia,Russia
X8,545,,Icaro,Ecuador
XE,477,BTA,ExpressJet,United States
XG,455,NAO,North American Airlines,Canada
XK,146,CCM,Compagnie Corse Mediterranee,France
XM,524,XME,Australian Air Express,Australia
XQ,564,SXS,SunExpress,Turkey
XR,674,OZW,Skywest Airlines,Australia
XX,624,WPL,Aeronaves del Peru,Peru
Y7,362,FJE,Silverjet Cargo/Flyjet,United Kingdom
Y9,780,IRK,Kish Air,Iran
YI,806,RSI,Air Sunshine,United States
YK,56,YVK,Cyprus Turkish Airlines,North Cyprus
YN,219,CRQ,Air Creebec,Canada
YP,633,AEF,Aero Lloyd,Germany
YS,982,RGI,Regional,France
YT,30,TGA,Air Togo,Togo
YV,533,ASH,Mesa Airlines,United States
YX,453,MEP,Midwest Airlines,United States
Z3,757,SMJ,Avient Aviation,United Kingdom
Z6,181,UDN,Dniproavia,Ukraine
Z7,913,SFQ,Sahara Air Cargo,Tanzania
ZB,974,MON,Monarch Airlines,United Kingdom
ZE,994,LCD,Lineas Aereas Azteca,Mexico
ZK,846,GLA,Great Lakes Aviation Ltd,United States
G9,514,,Air Arabia,UAE
AK,807,,Air Asia,Malayasia
D7,843,,Air Asia X,Malayasia
TR,388,,Tiger Airways Cargo,Singapore
D0,615,,European Airlines,
LP,544,LPE,Lan Peru,Peru
LR,133,LRC,TACA/LACSA-Lineas Aereas Costarricenses,Costa Rica
LX,724,SWR,Swiss WorldCargo,Switzerland
LZ,196,LAZ,Balkan Bulgarian Airlines,Bulgaria
M4,743,AXX,Avioimpex,Macedonia
M8,658,MMX,AirMax Cargo,Peru
MA,182,MAH,Malev Hungarian Airlines,Hungary
ME,76,MEA,Middle East Airlines,Lebanon
MH,232,MAS,MASKargo,Malaysia
MJ,69,LPR,LAPA Lineas Aereas Privadas Argentinas,Argentina
MM,334,SAM,Sociedad Aeronautica de Medellin (SAM),Colombia
MO,622,CAV,Calm Air International ltd,Canada
MR,174,MRT,Air Mauritanie,Mauritania
MU,781,CES,China Eastern Airlines,China PRC
MX,132,MXA,Mexicana,Mexico
MZ,621,MNA,Merpati Nusantara,Indonesia
N8,851,CRK,Hong Kong Airlines Ltd,Hong Kong
NB,194,SNB,Sterling,Denmark
NF,218,AVN,Air Vanuatu,Vanuatu
NI,685,PGA,Portugalia Airlines,Portugal
VG,978,VLM,VLM Airlines,Belgium
NL,740,SAI,Shaheen Air International,Pakistan
NN,606,MTQ,Air Martinique,Martinique
NT,474,IBB,Binter Canarias,Canary Is
NV,668,NWT,NWT Air,Canada
NX,675,AMU,Air Macau,Macau
OA,50,OAL,Olympic Airways,Greece
OF,442,FIF,Air Finland,Finland
OH,886,COM,Comair - Delta Connection,United States
OL,704,OLT,OLT- Ostfriesische Lufttransport GmbH,Germany
ON,123,RON,Our Airline,Nauru
OR,107,CRF,Crimea Air,Ukraine
OU,831,CTN,Croatia Airlines,Croatia
OX,578,OEA,Orient Thai Airlines,Thailand
P2,298,TYN,Tyumenavia,Russia
P5,845,RPB,AeroRepublica,Colombia
P7,215,ESL,Russian Sky Airlines,Russia
PD,329,PEM,Pemair,Canada
PG,829,BKP,Bangkok Airways,Thailand
PI,252,SUF,Sunflower Airlines,Fiji
PL,210,PLI,Aeroperu,Peru
PR,79,PAL,Philippine Airlines,Philippines
PT,869,SWN,West Air Sweden,Sweden
PU,286,PUA,PLUNA,Uruguay
PY,192,SLM,Surinam Airways,Surinam
Q3,391,MBN,Zambian Airways,Zambia
Q7,644,SLR,Sobelair,Belgium
QC,207,AZR,Air Zaire,Congo DR
QI,647,CIM,Cimber Sterling,Denmark
QL,383,RNL,Aero Lanka,Sri Lanka
QN,907,ARR,Air Armenia,Armenia
QQ,384,ROA,Reno Air,United States
QT,729,TPA,Tampa Air Cargo,Colombia
QW,49,BWG,Blue Wings,Germany
QY,423,BCS,European Air Transport,Belgium
R7,717,OCA,ASERCA Airlines,Venezuela
RB,70,SYR,Syrianair,Syria
RF,330,FWL,Florida West International Airways,United States
RJ,512,RJA,Royal Jordanian,Jordan
RM,283,MLV,Air Moldova International,Moldova
RQ,834,RQX,Swisswings Airlines,Switzerland
RU,25,SKI,Skyking Airlines,Turks & Caicos Is
RW,52,RPA,Republic Airlines,United States
RZ,503,LRS,SANSA Servicios Aereos Nacionales,Costa Rica
S2,705,SHD,Sahara Airlines,India
S3,249,BBR,SBA Airlines,Venezuela
S4,737,RZO,SATA International,Azores
S5,919,TCF,Shuttle America,United States
S6,707,ASM,Air St Martin,Guadaloupe
S7,421,SBI,S7 Airlines,Russia
S8,520,ELK,ELK-Estonian Aviation Company,Estonia
S9,895,HSA,East African Safari Air,Kenya
SA,83,SAA,South African Airways Cargo,South Africa
SB,63,ACI,Air Caledonie International,New Caledonia
SC,324,CDG,Shandong Airlines,China PRC
SD,200,SUD,Sudan Airways,Sudan
SE,473,XLF,XL Airways France,France
SF,515,DTH,Tassili Airlines,Algeria
SG,821,SSR,Sempati Air,Indonesia
SH,887,TLE,Air Toulouse International,France
SI,597,SIH,Skynet Airlines,Ireland
SK,117,SAS,SAS-Scandinavian Airlines System,Denmark
SL,293,RSL,Rio-Sul Servicos Aereos Regionais SA,Brazil
SM,375,SWI,Sunworld International Airlines,United States
SN,82,DAT,Brussels Cargo,Belgium
SQ,618,SQC,Singapore Airlines Cargo,Singapore
SV,65,SVA,Saudi Airlines Cargo,Saudi Arabia
SY,337,SCX,Sun Country Airlines,United States
T2,284,TCG,Thai Air Cargo,Thailand
T4,609,TRL,TransEast Airlines,Latvia
T6,204,TVR,Tavrey Airlines,Ukraine
TC,197,ATC,Air Tanzania,Tanzania
TE,874,LIL,flyLAL - Lithuanian Airlines,Lithuania
TG,217,THA,Thai Airways,Thailand
TK,235,THY,Turkish Airlines,Turkey
TM,68,LAM,LAM-Linhas Aereas de Mozambique,Mozambique
TO,540,PSD,President Airlines,Cambodia
TX,427,FWI,Air Caraibes,Guadaloupe
TZ,366,AMT,American Trans Air,United States
U6,262,SVR,Ural Airlines,Russia
UC,145,LCO,LAN Cargo,Chile
UF,828,UKM,UM Air,Ukraine
UI,475,ECA,Eurocypria Airlines,Cyprus
UM,168,AZW,Air Zimbabwe,Zimbabwe
UP,111,BHS,Bahamasair,United States
UU,760,REU,Air Austral,Reunion
V2,501,AKT,Karat,Russia
V7,407,SNG,Air Senegal International,Senegal
V9,940,BTC,Bashkir Airlines,Russia
VC,985,SVV,Servivensa-Empresa Servicios Avensa,Venezuela
VE,128,AVE,Avensa,Venezuela
E3,497,DMO,Domodedovo Airlines,Russia
E5,906,BRZ,Samara Airlines,Russia
E7,355,ESF,Estafeta Carga Aerea,Mexico
EA,24,EAE,European Air Express,Germany
EC,36,TWN,Avialeasing,Uzbekistan
EF,265,FEA,Far Eastern Air Transport,Taiwan ROC
EI,53,EIN,Aer Lingus Cargo,Ireland
EK,176,UAE,Emirates SkyCargo,Dubai
EN,101,DLA,Air Dolomiti SPA,Italy
EP,815,IRC,Iran Aseman Airlines,Iran
ES,155,DHX,DHL/SNAS,Bahrain
EU,341,EEA,Ecuatoriana Airlines,Ecuador
EW,104,EWG,Eurowings,Germany
EZ,494,EIA,Evergreen International Airlines,United States
F5,447,COZ,Cosmic Air,Nepal
FA,640,SFR,Safair,South Africa
FC,553,FCX,Falcon Express Cargo Airline,Dubai
FF,305,TOW,Tower Air,United States
FI,108,ICE,Icelandair Cargo,Iceland
FK,858,WTA,Africa West,Togo
FR,224,RYR,Ryanair,Ireland
FT,727,FTI,Fly FTI,United Kingdom
FV,195,SDM,Rossiya Airlines,Russia
