AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
CT,551,SFB,Air Sofia,Bulgaria
CW,778,MRS,Air Marshall Islands,Marshall Is
CY,48,CYP,Cyprus Airways,Cyprus
CZ,784,CSN,China Southern Airlines,China PRC
D2,59,DAM,Skyline NEPC,India
D3,991,DAO,Daallo Airlines,Djibouti
D5,992,DAE,DHL Aero Expreso,Panama
D6,625,ILN,Interair South Africa,South Africa
D8,213,DSL,Diamond Sakha Airlines,Russia
D9,733,DNV,Aeroflot-Don,Russia
DA,500,GEO,Air Georgia,Georgia
DB,750,BZH,Brit Air,France
DE,881,CFG,Condor,Germany
DF,898,DER,Deer Jet,China PRC
DG,373,CTT,Custom Air Transport,United States
DH,480,BLR,Atlantic Coast Airlines (United Express),United States
DI,944,BAG,dba,Germany
DJ,795,VOZ,Virgin Blue,Australia
DK,630,VKG,MyTravel Airways,Denmark
DL,6,DAL,Delta Air Lines,United States
DM,349,DAN,Maersk Air Cargo,Denmark
DO,113,DOA,Dominicana de Aviacion,Dominican Republic
DQ,457,CXT,Coastal Air Transport,Virgin Is (USA)
DU,748,HMS,Hemus Air,Bulgaria
DY,328,NAX,Norwegian Air Shuttle,Norway
4C,35,ARE,Aires Colombia (Aerovias de Integracion),Colombia
4G,479,CSZ,Shenzhen Airlines,China PRC
4M,469,DSM,LAN Argentina,Argentina
4Z,749,LNK,Airlink,South Africa
5D,642,SLI,Aerolitoral,Mexico
5K,654,ODS,State Air Company Odessa Airlines,Ukraine
5M,842,SIB,Sibavia,Russia
5S,301,GAK,Global Aviation and Services,Libya
5W,212,AEU,Astraeus,United Kingdom
5Y,369,GTI,Atlas Air,United States
6A,95,CHP,AVIACSA- Consorcio Aviaxsa SA de CV,Mexico
6D,19,PAS,Pelita Air Service,Indonesia
6G,661,,Gabon Airlines Cargo,Gabon
6L,709,AKK,Aklak Inc,Canada
6N,556,TRQ,Trans Travel Airlines,Netherlands
6Q,921,SLL,Slovak Airlines,Slovakia
6U,891,UKR,Air Ukraine,Ukraine
6W,26,SOV,Saravia,Russia
W6,26,yy,Wizz Air Hungary Ltd.,Hungary
W6,26,yy,Wizz Air,Hungary
